id,0
0,0
1,14
2,0
3,0
4,0
5,0
6,0
7,14
8,0
9,7
10,0
11,0
12,0
13,7
14,10
15,0
16,0
17,0
18,0
19,0
20,14
21,4
22,0
23,14
24,11
25,0
26,0
27,0
28,3
29,0
30,0
31,14
32,3
33,14
34,0
35,0
36,0
37,0
38,0
39,0
40,14
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,14
49,0
50,0
51,3
52,11
53,0
54,14
55,0
56,0
57,14
58,0
59,0
60,0
61,0
62,0
63,14
64,3
65,0
66,0
67,0
68,3
69,14
70,0
71,0
72,0
73,0
74,0
75,14
76,0
77,3
78,0
79,0
80,0
81,14
82,0
83,0
84,0
85,0
86,3
87,0
88,0
89,14
90,0
91,4
92,3
93,0
94,0
95,0
96,0
97,0
98,10
99,14
100,0
101,0
102,0
103,0
104,0
105,0
106,14
107,14
108,0
109,14
110,14
111,0
112,0
113,0
114,0
115,0
116,14
117,0
118,0
119,3
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,3
129,0
130,14
131,0
132,0
133,0
134,0
135,0
136,14
137,0
138,0
139,0
140,14
141,14
142,14
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,14
155,0
156,14
157,0
158,14
159,3
160,0
161,0
162,0
163,0
164,0
165,3
166,0
167,0
168,0
169,0
170,0
171,0
172,14
173,0
174,0
175,14
176,14
177,14
178,0
179,0
180,0
181,0
182,14
183,0
184,0
185,11
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,14
194,0
195,0
196,0
197,0
198,0
199,0
200,3
201,0
202,0
203,11
204,14
205,0
206,15
207,11
208,0
209,0
210,0
211,0
212,14
213,0
214,0
215,0
216,0
217,0
218,0
219,11
220,0
221,14
222,0
223,0
224,0
225,14
226,0
227,0
228,0
229,0
230,14
231,0
232,0
233,14
234,0
235,0
236,0
237,3
238,4
239,0
240,0
241,14
242,0
243,0
244,14
245,3
246,0
247,0
248,11
249,0
